,qID,qText,qSpan,speaker,addressee,qType,refExp,menTexts,menSpans,menEnts,speakerGender,dialogueTurn,speakerType,novel,startParaID,endParaID,startChapID,endChapID,speakerID,startByte,endByte,addresse
67,Q67,"Keep me informed of your progress, Agent Blaze,","[18475, 18522]",Michaels,['Dana'],Explicit,"Michaels said,",[],[],[],he/him/his,,intermediate,,,,1,1,9,18475,18522,
68,Q68,"Hey,","[19008, 19012]",Jake,['Dana'],Anaphoric,"he said,",[],[],[],he/him/his,,minor,,,,1,1,24,19008,19012,
69,Q69,Michaels wanted me to give you this.,"[19057, 19093]",Jake,['Dana'],Anaphoric,"he said,",[],[],[],he/him/his,,minor,,,,1,1,24,19057,19093,
70,Q70,"Just leave it on the desk there,","[19097, 19129]",Dana,['Jake'],Explicit,"Dana said,",[],[],[],she/her,,major,,,,1,1,0,19097,19129,
71,Q71,Is there something else?,"[19360, 19384]",Dana,['Jake'],Explicit,"Dana asked,",[],[],[],she/her,,major,,,,1,1,0,19360,19384,
72,Q72,It's just…,"[19400, 19410]",Jake,['Dana'],Implicit,,[],[],[],he/him/his,,minor,,,,1,1,24,19400,19410,
73,Q73,"Seems like the kind of case that can make or break your career, you know? I don't know the details, but I heard a few of the agents talking about it.","[19424, 19573]",Jake,['Dana'],Implicit,,[],[],[],he/him/his,,minor,,,,1,1,24,19424,19573,
74,Q74,"Well,","[19611, 19616]",Jake,['Dana'],Explicit,"Jake said,",[],[],[],he/him/his,,minor,,,,1,1,24,19611,19616,
75,Q75,"just be careful out there, okay? And I'm not just talking about your career.","[19668, 19744]",Jake,['Dana'],Explicit,"Jake said,",[],[],[],he/him/his,,minor,,,,1,1,24,19668,19744,
76,Q76,I'll be careful. No need to worry.,"[19793, 19827]",Dana,['Jake'],Implicit,,[],[],[],she/her,,major,,,,1,1,0,19793,19827,
77,Q77,Good. Wouldn't want to lose my sparring partner.,"[19861, 19909]",Jake,['Dana'],Implicit,,[],[],[],he/him/his,,minor,,,,1,1,24,19861,19909,
78,Q78,That would be a shame.,"[19913, 19935]",Dana,['Jake'],Implicit,,[],[],[],she/her,,major,,,,1,1,0,19913,19935,
79,Q79,"Give 'em hell, Dana.","[19985, 20005]",Jake,['Dana'],Implicit,,[],[],[],he/him/his,,minor,,,,1,1,24,19985,20005,
80,Q80,Always do.,"[20029, 20039]",Dana,['Jake'],Implicit,,[],[],[],she/her,,major,,,,1,1,0,20029,20039,
81,Q81,"Hell of a way to start a day, huh?","[22994, 23028]",Sam,['Dana'],Explicit,"Sam asked,",[],[],[],he/him/his,,major,,,,2,2,1,22994,23028,
82,Q82,"Always is,","[23402, 23412]",Dana,['Sam'],Explicit,"Dana said,",[],[],[],she/her,,major,,,,2,2,0,23402,23412,
83,Q83,"Good to see you, Sam. What have we got?","[23462, 23501]",Dana,['Sam'],Explicit,"Dana said,",[],[],[],she/her,,major,,,,2,2,0,23462,23501,
84,Q84,"Emily Haven,","[23505, 23517]",Sam,['Dana'],Explicit,"Sam said,",[],[],[],he/him/his,,major,,,,2,2,1,23505,23517,
85,Q85,"She was giving a speech on free speech when she suddenly felt faint, left the stage, and stumbled into this alley. Her friend, Ben Spears, took over for her, then found her about ten minutes later after he wrapped up the speech.","[23627, 23855]",Sam,['Dana'],Explicit,"Sam said,",[],[],[],he/him/his,,major,,,,2,2,1,23627,23855,
86,Q86,Any witnesses?,"[23859, 23873]",Dana,['Sam'],Explicit,"Dana asked,",[],[],[],she/her,,major,,,,2,2,0,23859,23873,
87,Q87,"Unfortunately, no,","[23938, 23956]",Sam,['Dana'],Explicit,"Sam replied,",[],[],[],he/him/his,,major,,,,2,2,1,23938,23956,
88,Q88,Her last moments were spent alone in this alley.,"[23972, 24020]",Sam,['Dana'],Explicit,"Sam replied,",[],[],[],he/him/his,,major,,,,2,2,1,23972,24020,
89,Q89,Odd...,"[24313, 24319]",Dana,['Sam'],Explicit,"Dana murmured,",[],[],[],she/her,,major,,,,2,2,0,24313,24319,
90,Q90,"No signs of struggle, no injuries.","[24370, 24404]",Dana,['Sam'],Explicit,"Dana murmured,",[],[],[],she/her,,major,,,,2,2,0,24370,24404,
91,Q91,"Exactly,","[24408, 24416]",Sam,['Dana'],Explicit,"Sam said,",[],[],[],he/him/his,,major,,,,2,2,1,24408,24416,
92,Q92,"No bruises, no cuts, nothing.","[24429, 24458]",Sam,['Dana'],Explicit,"Sam said,",[],[],[],he/him/his,,major,,,,2,2,1,24429,24458,
93,Q93,"Sam, look at this,","[24738, 24756]",Dana,['Sam'],Anaphoric,"she said,",[],[],[],she/her,,major,,,,2,2,0,24738,24756,
94,Q94,Could be Emily's.,"[24872, 24889]",Dana,['Sam'],Anaphoric,"she said,",[],[],[],she/her,,major,,,,2,2,0,24872,24889,
95,Q95,"Nice catch,","[24893, 24904]",Sam,['Dana'],Explicit,"Sam said,",[],[],[],he/him/his,,major,,,,2,2,1,24893,24904,
96,Q96,"If it is, she might have been trying to call for help when she died.","[24947, 25015]",Sam,['Dana'],Explicit,"Sam said,",[],[],[],he/him/his,,major,,,,2,2,1,24947,25015,
97,Q97,We'll need to have the tech team analyze it for any recent activity.,"[25032, 25100]",Dana,['Sam'],Implicit,,[],[],[],she/her,,major,,,,2,2,0,25032,25100,
98,Q98,"Ben, this is Agent Dana Blaze,","[25292, 25322]",Sam,['Ben'],Explicit,Sam said.,[],[],[],he/him/his,,major,,,,2,2,1,25292,25322,
99,Q99,We're just going over the scene now.,"[25335, 25371]",Sam,['Ben'],Explicit,Sam said.,[],[],[],he/him/his,,major,,,,2,2,1,25335,25371,
100,Q100,"Hey,","[25375, 25379]",Ben,"['Dana', 'Sam']",Explicit,"Ben said,",[],[],[],he/him/his,,intermediate,,,,2,2,20,25375,25379,
101,Q101,"I just wanted to see if there was anything I could do to help. I feel so...useless, you know?","[25481, 25574]",Ben,"['Dana', 'Sam']",Explicit,"Ben said,",[],[],[],he/him/his,,intermediate,,,,2,2,20,25481,25574,
102,Q102,"Actually, we were hoping you could tell us more about what happened during the rally,","[25578, 25663]",Dana,"['Ben', 'Sam']",Explicit,"Dana said,",[],[],[],she/her,,major,,,,2,2,0,25578,25663,
103,Q103,We need to piece together Emily's final moments as best we can.,"[25685, 25748]",Dana,"['Ben', 'Sam']",Explicit,"Dana said,",[],[],[],she/her,,major,,,,2,2,0,25685,25748,
104,Q104,"Of course,","[25752, 25762]",Ben,"['Dana', 'Sam']",Explicit,"Ben replied,",[],[],[],he/him/his,,intermediate,,,,2,2,20,25752,25762,
105,Q105,"Well, Emily was delivering her speech when she suddenly collapsed. She told me she was light-headed and said something about caffeine, but I...","[25795, 25938]",Ben,"['Dana', 'Sam']",Explicit,"Ben replied,",[],[],[],he/him/his,,intermediate,,,,2,2,20,25795,25938,
106,Q106,"I knew better. I should've taken her to the hospital right then. But the show must go on, right?","[25974, 26070]",Ben,"['Dana', 'Sam']",Explicit,"Ben replied,",[],[],[],he/him/his,,intermediate,,,,2,2,20,25974,26070,
107,Q107,What happened next?,"[26127, 26146]",Dana,"['Ben', 'Sam']",Explicit,"Dana said,",[],[],[],she/her,,major,,,,2,2,0,26127,26146,
108,Q108,"She insisted on leaving the stage, so I took over for her. We worked really hard to set this event up, and neither of us wanted to lose the opportunity. After I finished speaking, I came back here to check on her...and found her like this.","[26210, 26449]",Ben,"['Dana', 'Sam']",Implicit,,[],[],[],he/him/his,,intermediate,,,,2,2,20,26210,26449,
109,Q109,Did you notice anything unusual during the event?,"[26453, 26502]",Sam,"['Ben', 'Dana']",Explicit,"Sam asked,",[],[],[],he/him/his,,major,,,,2,2,1,26453,26502,
110,Q110,Anything that might help us understand what happened?,"[26536, 26589]",Sam,"['Ben', 'Dana']",Explicit,"Sam asked,",[],[],[],he/him/his,,major,,,,2,2,1,26536,26589,
111,Q111,"Nothing really,","[26593, 26608]",Ben,"['Dana', 'Sam']",Explicit,"Ben admitted,",[],[],[],he/him/his,,intermediate,,,,2,2,20,26593,26608,
112,Q112,"The rally was going well, and Emily seemed fine up until the moment she collapsed. It all just happened so fast.","[26643, 26755]",Ben,"['Dana', 'Sam']",Explicit,"Ben admitted,",[],[],[],he/him/his,,intermediate,,,,2,2,20,26643,26755,
113,Q113,Did she have any health concerns?,"[26759, 26792]",Dana,"['Ben', 'Sam']",Explicit,"Dana asked,",[],[],[],she/her,,major,,,,2,2,0,26759,26792,
114,Q114,"Allergies, anything like that?","[26807, 26837]",Dana,"['Ben', 'Sam']",Explicit,"Dana asked,",[],[],[],she/her,,major,,,,2,2,0,26807,26837,
115,Q115,"No, I don't think so. She was as healthy as a clam, as she liked to say. She got her idioms mixed up sometimes.","[26841, 26952]",Ben,"['Dana', 'Sam']",Implicit,,[],[],[],he/him/his,,intermediate,,,,2,2,20,26841,26952,
116,Q116,Did you notice any suspicious individuals in the crowd?,"[27001, 27056]",Sam,"['Ben', 'Dana']",Explicit,"Sam asked,",[],[],[],he/him/his,,major,,,,2,2,1,27001,27056,
117,Q117,Anyone you thought you needed to keep an eye on?,"[27070, 27118]",Sam,"['Ben', 'Dana']",Explicit,"Sam asked,",[],[],[],he/him/his,,major,,,,2,2,1,27070,27118,
118,Q118,What are you asking? Are you suggesting someone…,"[27142, 27190]",Ben,"['Dana', 'Sam']",Implicit,,[],[],[],he/him/his,,intermediate,,,,2,2,20,27142,27190,
119,Q119,"We don't know,","[27275, 27289]",Dana,"['Ben', 'Sam']",Explicit,"Dana said gently,",[],[],[],she/her,,major,,,,2,2,0,27275,27289,
120,Q120,We're considering all possibilities. This could have been some kind of accident…,"[27310, 27390]",Dana,"['Ben', 'Sam']",Explicit,"Dana said gently,",[],[],[],she/her,,major,,,,2,2,0,27310,27390,
121,Q121,Or what? Someone murdered her?,"[27394, 27424]",Ben,"['Dana', 'Sam']",Implicit,,[],[],[],he/him/his,,intermediate,,,,2,2,20,27394,27424,
122,Q122,"I didn't see anybody suspicious, no,","[27572, 27608]",Ben,"['Dana', 'Sam']",Anaphoric,"he said in a quiet voice,",[],[],[],he/him/his,,intermediate,,,,2,2,20,27572,27608,
123,Q123,"These were kind, well-intentioned people. True patriots.","[27637, 27693]",Ben,"['Dana', 'Sam']",Anaphoric,"he said in a quiet voice,",[],[],[],he/him/his,,intermediate,,,,2,2,20,27637,27693,
124,Q124,And she didn't have any enemies? Anyone who might've wanted to harm her?,"[27697, 27769]",Dana,"['Ben', 'Sam']",Implicit,,[],[],[],she/her,,major,,,,2,2,0,27697,27769,
125,Q125,"Enemies? Sure, there were people who didn't like her political views, but to think someone would go as far as to harm her...","[27773, 27897]",Ben,"['Dana', 'Sam']",Explicit,"Ben trailed off,",[],[],[],he/him/his,,intermediate,,,,2,2,20,27773,27897,
126,Q126,I can't imagine it.,"[27941, 27960]",Ben,"['Dana', 'Sam']",Explicit,"Ben trailed off,",[],[],[],he/him/his,,intermediate,,,,2,2,20,27941,27960,
127,Q127,"Thank you, Ben,","[27964, 27979]",Dana,"['Ben', 'Sam']",Explicit,"Dana said,",[],[],[],she/her,,major,,,,2,2,0,27964,27979,
128,Q128,"We'll be in touch if we need anything else. In the meantime, try to get some rest.","[28037, 28119]",Dana,"['Ben', 'Sam']",Explicit,"Dana said gently,",[],[],[],she/her,,major,,,,2,2,0,28037,28119,
129,Q129,"Sure thing,","[28123, 28134]",Ben,"['Dana', 'Sam']",Explicit,"Ben replied,",[],[],[],he/him/his,,intermediate,,,,2,2,20,28123,28134,
130,Q130,I'm going to call someone about getting this phone examined. Maybe we'll find something useful on it.,"[28266, 28367]",Sam,['Dana'],Implicit,,[],[],[],he/him/his,,major,,,,2,2,1,28266,28367,
131,Q131,"Good idea,","[28371, 28381]",Dana,['Sam'],Explicit,"Dana replied,",[],[],[],she/her,,major,,,,2,2,0,28371,28381,
132,Q132,"Sam,","[28859, 28863]",Dana,['Sam'],Anaphoric,"she called out quietly,",[],[],[],she/her,,major,,,,2,2,0,28859,28863,
133,Q133,"Hold on a minute,","[28995, 29012]",Sam,['Dana'],Anaphoric,he said into the phone.,[],[],[],he/him/his,,major,,,,2,2,1,28995,29012,
134,Q134,"Look at this,","[29132, 29145]",Dana,['Sam'],Anaphoric,"she said,",[],[],[],she/her,,major,,,,2,2,0,29132,29145,
135,Q135,What do you make of it?,"[29190, 29213]",Dana,['Sam'],Anaphoric,"she said,",[],[],[],she/her,,major,,,,2,2,0,29190,29213,
136,Q136,It could be from a needle. A very fine one.,"[29276, 29319]",Sam,['Dana'],Implicit,,[],[],[],he/him/his,,major,,,,2,2,1,29276,29319,
137,Q137,"I was thinking the same thing,","[29323, 29353]",Dana,['Sam'],Explicit,"Dana said,",[],[],[],she/her,,major,,,,2,2,0,29323,29353,
138,Q138,"If someone used a needle like this to inject poison rapidly into Emily's bloodstream, they could've killed her without anyone noticing. It would explain the lack of struggle and other physical injuries.","[29367, 29569]",Dana,['Sam'],Explicit,"Dana said,",[],[],[],she/her,,major,,,,2,2,0,29367,29569,
139,Q139,An assassin hiding in plain sight during the rally?,"[29573, 29624]",Sam,['Dana'],Explicit,"Sam mused,",[],[],[],he/him/his,,major,,,,2,2,1,29573,29624,
140,Q140,That's a chilling thought.,"[29656, 29682]",Sam,['Dana'],Explicit,"Sam mused,",[],[],[],he/him/his,,major,,,,2,2,1,29656,29682,
141,Q141,"Let me finish this call, and we'll go over everything we've found so far,","[29877, 29950]",Sam,['Dana'],Explicit,"Sam said,",[],[],[],he/him/his,,major,,,,2,2,1,29877,29950,
142,Q142,"'Abridging the freedom of speech,'","[31713, 31747]",Dana,['Sam'],Anaphoric,"she said,",[],[],[],she/her,,major,,,,2,2,0,31713,31747,
143,Q143,What are you talking about?,"[31767, 31794]",Sam,['Dana'],Explicit,Sam asked as he joined her.,[],[],[],he/him/his,,major,,,,2,2,1,31767,31794,
144,Q144,"Take a look at this,","[31826, 31846]",Dana,['Sam'],Explicit,"Dana said, ",[],[],[],she/her,,major,,,,2,2,0,31826,31846,
145,Q145,It's a quote from the First Amendment. It could be our killer's signature.,"[31902, 31976]",Dana,['Sam'],Explicit,"Dana said, ",[],[],[],she/her,,major,,,,2,2,0,31902,31976,
146,Q146,How'd you crack this so quickly?,"[32007, 32039]",Sam,['Dana'],Implicit,,[],[],[],he/him/his,,major,,,,2,2,1,32007,32039,
147,Q147,Played a lot of Scrabble as a kid.,"[32066, 32100]",Dana,['Sam'],Implicit,,[],[],[],she/her,,major,,,,2,2,0,32066,32100,
148,Q148,"The First Amendment,","[32104, 32124]",Sam,['Dana'],Explicit,Sam murmured.,[],[],[],he/him/his,,major,,,,2,2,1,32104,32124,
149,Q149,Can't be a coincidence that Emily Haven was talking about free speech.,"[32141, 32211]",Sam,['Dana'],Explicit,Sam murmured.,[],[],[],he/him/his,,major,,,,2,2,1,32141,32211,
150,Q150,"A signature—you know what this means, right?","[32270, 32314]",Sam,['Dana'],Explicit,Sam murmured.,[],[],[],he/him/his,,major,,,,2,2,1,32270,32314,
151,Q151,"It means,","[32318, 32327]",Dana,['Sam'],Explicit,"Dana said, ",[],[],[],she/her,,major,,,,2,2,0,32318,32327,
152,Q152,that our killer has an agenda. And he'll probably strike again.,"[32341, 32404]",Dana,['Sam'],Explicit,"Dana said, ",[],[],[],she/her,,major,,,,2,2,0,32341,32404,
153,Q153,"Dr. Wilson should be here any moment,","[32818, 32855]",Sam,['Dana'],Explicit,"Sam said,",[],[],[],he/him/his,,major,,,,3,3,1,32818,32855,
