source,idColName,iden,text,startByte,endByte,pdncID
exp,exp_name,ben,Ben,8421,8424,20
booknlp,COREF,31,her,8440,8443,2
booknlp,COREF,31,she,8449,8452,2
booknlp,COREF,31,her,8489,8492,2
booknlp,COREF,31,she,8509,8512,2
exp,exp_name,ben,Ben,8552,8555,20
exp,exp_name,emily,Emily,8677,8682,2
exp,exp_name,emily,Emily,8741,8746,2
booknlp,COREF,31,she,8764,8767,2
booknlp,COREF,31,She,8816,8819,2
booknlp,COREF,31,Her,8920,8923,2
booknlp,COREF,31,her,9014,9017,2
booknlp,COREF,31,you,9025,9028,2
exp,exp_name,a concerned woman,a concerned woman,9036,9053,44
exp,exp_name,emily,Emily,9063,9068,2
booknlp,COREF,137,her,9083,9086,44
exp,exp_name,emily,Emily,9118,9123,2
booknlp,COREF,31,her,9200,9203,2
exp,exp_name,emily,Emily,9217,9222,2
booknlp,COREF,31,her,9235,9238,2
exp,exp_name,ben,Ben,9279,9282,20
booknlp,COREF,31,her,9311,9314,2
booknlp,COREF,31,She,9316,9319,2
booknlp,COREF,31,her,9371,9374,2
booknlp,COREF,31,her,9421,9424,2
booknlp,COREF,31,her,9451,9454,2
booknlp,COREF,31,she,9582,9585,2
booknlp,COREF,31,she,9595,9598,2
booknlp,COREF,31,her,9695,9698,2
booknlp,COREF,31,her,9704,9707,2
booknlp,COREF,31,She,9734,9737,2
exp,exp_name,emily,Emily,9832,9837,2
booknlp,COREF,31,her,9870,9873,2
booknlp,COREF,31,She,9906,9909,2
booknlp,COREF,31,she,9938,9941,2
exp,exp_name,emily,Emily,9999,10004,2
booknlp,COREF,31,she,10007,10010,2
booknlp,COREF,31,herself,10024,10031,2
booknlp,COREF,31,her,10075,10078,2
booknlp,COREF,31,You,10094,10097,2
exp,exp_name,emily,Emily,10135,10140,2
booknlp,COREF,31,She,10247,10250,2
booknlp,COREF,31,her,10263,10266,2
booknlp,COREF,31,her,10276,10279,2
booknlp,COREF,31,her,10376,10379,2
booknlp,COREF,31,she,10420,10423,2
booknlp,COREF,31,Her,10476,10479,2
booknlp,COREF,31,her,10496,10499,2
booknlp,COREF,31,she,10575,10578,2
booknlp,COREF,31,her,10592,10595,2
booknlp,COREF,31,her,10610,10613,2
booknlp,COREF,31,Her,10615,10618,2
booknlp,COREF,31,she,10656,10659,2
booknlp,COREF,31,her,10685,10688,2
booknlp,COREF,31,her,10709,10712,2
booknlp,COREF,31,she,10738,10741,2
exp,exp_name,ben,Ben,10759,10762,20
exp,exp_name,emily,Emily,10901,10906,2
booknlp,COREF,31,me,10968,10970,2
exp,exp_name,emily,Emily,10973,10978,2
booknlp,COREF,31,her,11101,11104,2
booknlp,COREF,31,her,11136,11139,2
booknlp,COREF,31,she,11166,11169,2
booknlp,COREF,31,her,11293,11296,2
booknlp,COREF,31,she,11314,11317,2
exp,exp_name,dana,Dana,11548,11552,0
exp,exp_name,dana blaze,Dana Blaze,11793,11803,0
booknlp,COREF,33,her,11882,11885,0
booknlp,COREF,33,her,11914,11917,0
booknlp,COREF,33,She,12046,12049,0
booknlp,COREF,33,her,12109,12112,0
booknlp,COREF,33,her,12230,12233,0
exp,exp_name,mark,Mark,12273,12277,26
exp,exp_name,dana,Dana,12413,12417,0
booknlp,COREF,33,her,12437,12440,0
booknlp,COREF,33,her,12451,12454,0
booknlp,COREF,33,Her,12485,12488,0
booknlp,COREF,33,she,12514,12517,0
booknlp,COREF,33,her,12526,12529,0
booknlp,COREF,33,her,12573,12576,0
booknlp,COREF,34,You,12585,12588,26
booknlp,COREF,34,your,12615,12619,26
exp,exp_name,mark,Mark,12644,12648,26
booknlp,COREF,33,she,12828,12831,0
booknlp,COREF,33,she,12839,12842,0
booknlp,COREF,33,her,12861,12864,0
booknlp,COREF,33,her,12972,12975,0
booknlp,COREF,33,she,13181,13184,0
booknlp,COREF,33,She,13197,13200,0
booknlp,COREF,33,she,13233,13236,0
exp,exp_name,mark,Mark,13248,13252,26
booknlp,COREF,34,his,13260,13263,26
exp,exp_name,dana,Dana,13340,13344,0
booknlp,COREF,33,She,13354,13357,0
booknlp,COREF,33,Her,13442,13445,0
booknlp,COREF,33,she,13531,13534,0
booknlp,COREF,33,her,13579,13582,0
booknlp,COREF,33,Her,13657,13660,0
booknlp,COREF,33,she,13687,13690,0
booknlp,COREF,33,her,13727,13730,0
exp,exp_name,dana,Dana,13738,13742,0
booknlp,COREF,33,her,13763,13766,0
exp,exp_name,mark,Mark,13785,13789,26
exp,exp_name,mark,Mark,13828,13832,26
booknlp,COREF,33,she,13835,13838,0
booknlp,COREF,34,your,13851,13855,26
exp,exp_name,mark,Mark,13942,13946,26
booknlp,COREF,34,his,13954,13957,26
exp,exp_name,dana,Dana,13989,13993,0
booknlp,COREF,34,his,14014,14017,26
booknlp,COREF,33,She,14028,14031,0
booknlp,COREF,33,she,14083,14086,0
exp,exp_name,dana,Dana,14133,14137,0
booknlp,COREF,33,her,14143,14146,0
booknlp,COREF,33,her,14168,14171,0
exp,exp_name,agent gerry michaels,Agent Gerry Michaels,14178,14198,9
booknlp,COREF,33,She,14200,14203,0
exp,exp_name,michaels,Michaels,14208,14216,9
booknlp,COREF,33,She,14259,14262,0
booknlp,COREF,33,her,14275,14278,0
exp,exp_name,michaels,Michaels,14306,14314,9
booknlp,COREF,35,he,14407,14409,9
booknlp,COREF,35,he,14422,14424,9
booknlp,COREF,33,her,14429,14432,0
booknlp,COREF,33,she,14443,14446,0
booknlp,COREF,35,him,14483,14486,9
exp,exp_name,dana,Dana,14502,14506,0
booknlp,COREF,35,his,14515,14518,9
booknlp,COREF,33,She,14574,14577,0
exp,exp_name,michaels,Michaels,14592,14600,9
booknlp,COREF,35,he,14644,14646,9
booknlp,COREF,33,she,14648,14651,0
booknlp,COREF,33,She,14662,14665,0
booknlp,COREF,33,her,14736,14739,0
booknlp,COREF,33,She,14837,14840,0
booknlp,COREF,33,her,14901,14904,0
booknlp,COREF,33,her,14935,14938,0
exp,exp_name,michaels,Michaels,14958,14966,9
booknlp,COREF,35,his,14977,14980,9
booknlp,COREF,35,his,15008,15011,9
exp,exp_name,dana,Dana,15020,15024,0
booknlp,COREF,33,her,15121,15124,0
booknlp,COREF,33,her,15132,15135,0
booknlp,COREF,33,she,15145,15148,0
booknlp,COREF,33,she,15157,15160,0
booknlp,COREF,33,her,15167,15170,0
booknlp,COREF,33,her,15236,15239,0
booknlp,COREF,33,Her,15351,15354,0
exp,exp_name,dana,Dana,15399,15403,0
booknlp,COREF,33,her,15596,15599,0
booknlp,COREF,33,her,15646,15649,0
booknlp,COREF,33,she,15681,15684,0
exp,exp_name,dana,Dana,15734,15738,0
exp,exp_name,aurora,Aurora,15749,15755,25
exp,exp_name,dana,Dana,15964,15968,0
exp,exp_name,dana,Dana,15998,16002,0
booknlp,COREF,33,herself,16019,16026,0
booknlp,COREF,33,her,16042,16045,0
exp,exp_name,dana,Dana,16179,16183,0
booknlp,COREF,33,Her,16208,16211,0
booknlp,COREF,33,she,16230,16233,0
exp,exp_name,agent gerry michaels,Agent Gerry Michaels,16267,16287,9
exp,exp_name,blaze,Blaze,16299,16304,0
booknlp,COREF,33,she,16307,16310,0
booknlp,COREF,33,her,16317,16320,0
exp,exp_name,agent blaze,Agent Blaze,16343,16354,0
exp,exp_name,michaels,Michaels,16357,16365,9
booknlp,COREF,35,I,16373,16374,9
booknlp,COREF,33,you,16381,16384,0
exp,exp_name,dana,Dana,16419,16423,0
exp,exp_name,michaels,Michaels,16479,16487,9
booknlp,COREF,33,her,16509,16512,0
booknlp,COREF,33,she,16568,16571,0
booknlp,COREF,33,her,16607,16610,0
booknlp,COREF,33,She,16620,16623,0
booknlp,COREF,33,I,16682,16683,0
booknlp,COREF,33,she,16707,16710,0
booknlp,COREF,33,I,16718,16719,0
booknlp,COREF,35,your,16741,16745,9
exp,exp_name,michaels,Michaels,16800,16808,9
exp,exp_name,dana,Dana,16825,16829,0
exp,exp_name,dana,Dana,16905,16909,0
booknlp,COREF,33,she,17066,17069,0
exp,exp_name,michaels,Michaels,17078,17086,9
booknlp,COREF,35,his,17095,17098,9
exp,exp_name,dana,Dana,17107,17111,0
exp,exp_name,michaels,Michaels,17210,17218,9
booknlp,COREF,35,he,17292,17294,9
booknlp,COREF,35,I,17481,17482,9
booknlp,COREF,33,you,17488,17491,0
booknlp,COREF,33,I,17534,17535,0
booknlp,COREF,33,she,17595,17598,0
booknlp,COREF,35,I,17613,17614,9
booknlp,COREF,35,I,17620,17621,9
exp,exp_name,agent harris,Agent Harris,17976,17988,1
booknlp,COREF,37,he'll,18001,18006,1
booknlp,COREF,33,you,18012,18015,0
exp,exp_name,agent harris,Agent Harris,18026,18038,1
exp,exp_name,dana,Dana,18041,18045,0
booknlp,COREF,33,she,18070,18073,0
exp,exp_name,sam harris,Sam Harris,18112,18122,1
booknlp,COREF,35,I,18124,18125,9
booknlp,COREF,33,you,18133,18136,0
booknlp,COREF,37,He,18163,18165,1
booknlp,COREF,37,he,18202,18204,1
booknlp,COREF,35,I,18224,18225,9
booknlp,COREF,33,you,18237,18240,0
exp,exp_name,sam harris,Sam Harris,18284,18294,1
booknlp,COREF,33,she,18296,18299,0
booknlp,COREF,33,She,18309,18312,0
booknlp,COREF,33,She,18383,18386,0
booknlp,COREF,35,me,18480,18482,9
booknlp,COREF,33,your,18495,18499,0
exp,exp_name,agent blaze,Agent Blaze,18510,18521,0
exp,exp_name,michaels,Michaels,18524,18532,9
exp,exp_name,dana,Dana,18570,18574,0
booknlp,COREF,33,her,18585,18588,0
booknlp,COREF,33,her,18596,18599,0
exp,exp_name,dana,Dana,18761,18765,0
booknlp,COREF,33,She,18801,18804,0
booknlp,COREF,33,her,18816,18819,0
booknlp,COREF,33,her,18835,18838,0
booknlp,COREF,33,she,18877,18880,0
booknlp,COREF,33,her,18891,18894,0
exp,exp_name,jake,Jake,18903,18907,24
booknlp,COREF,33,her,18943,18946,0
booknlp,COREF,33,her,18977,18980,0
booknlp,COREF,38,he,19014,19016,24
booknlp,COREF,33,her,19051,19054,0
exp,exp_name,michaels,Michaels,19057,19065,9
booknlp,COREF,38,me,19073,19075,24
booknlp,COREF,33,you,19084,19087,0
exp,exp_name,dana,Dana,19131,19135,0
booknlp,COREF,33,she,19166,19169,0
booknlp,COREF,33,she,19192,19195,0
booknlp,COREF,33,her,19247,19250,0
booknlp,COREF,33,She,19259,19262,0
exp,exp_name,jake,Jake,19331,19335,24
exp,exp_name,dana,Dana,19386,19390,0
booknlp,COREF,38,He,19412,19414,24
booknlp,COREF,33,your,19475,19479,0
booknlp,COREF,33,you,19488,19491,0
booknlp,COREF,38,I,19498,19499,24
booknlp,COREF,38,I,19528,19529,24
exp,exp_name,dana,Dana,19576,19580,0
exp,exp_name,jake,Jake,19618,19622,24
booknlp,COREF,38,his,19639,19642,24
booknlp,COREF,38,his,19654,19657,24
booknlp,COREF,38,I,19705,19706,24
booknlp,COREF,33,your,19732,19736,0
exp,exp_name,dana,Dana,19747,19751,0
exp,exp_name,jake,Jake,19780,19784,24
booknlp,COREF,33,I,19793,19794,0
booknlp,COREF,38,He,19830,19832,24
booknlp,COREF,38,my,19889,19891,24
exp,exp_name,jake,Jake,19938,19942,24
booknlp,COREF,33,'em,19990,19993,0
exp,exp_name,dana,Dana,20000,20004,0
exp,exp_name,dana,Dana,20008,20012,0
booknlp,COREF,38,him,20023,20026,24
exp,exp_name,jake,Jake,20053,20057,24
exp,exp_name,dana,Dana,20079,20083,0
booknlp,COREF,33,her,20109,20112,0
booknlp,COREF,33,her,20139,20142,0
exp,exp_name,dana,Dana,20153,20157,0
booknlp,COREF,33,her,20192,20195,0
booknlp,COREF,33,she,20241,20244,0
booknlp,COREF,33,her,20258,20261,0
exp,exp_name,jake,Jake,20291,20295,24
booknlp,COREF,33,her,20306,20309,0
booknlp,COREF,33,herself,20372,20379,0
exp,exp_name,dana,Dana,20443,20447,0
booknlp,COREF,33,She,20580,20583,0
booknlp,COREF,32,Julia Bennett,20615,20628,20
exp,exp_name,dana,Dana,20923,20927,0
booknlp,COREF,33,she,20939,20942,0
booknlp,COREF,32,Julia,20956,20961,20
booknlp,COREF,33,She,21046,21049,0
booknlp,COREF,33,Her,21105,21108,0
booknlp,COREF,33,she,21145,21148,0
exp,exp_name,emily haven,Emily Haven,21172,21183,2
exp,exp_name,emily,Emily,21193,21198,2
booknlp,COREF,31,She,21356,21359,2
exp,exp_name,emily,Emily,21502,21507,2
booknlp,COREF,32,Julia,21514,21519,20
exp,exp_name,dana,Dana,21870,21874,0
booknlp,COREF,33,She,21946,21949,0
booknlp,COREF,33,her,21979,21982,0
booknlp,COREF,33,she,22000,22003,0
exp,exp_name,dana,Dana,22198,22202,0
booknlp,COREF,33,she,22246,22249,0
exp,exp_name,dana,Dana,22475,22479,0
exp,exp_name,dana,Dana,22675,22679,0
exp,exp_name,dana,Dana,22827,22831,0
exp,exp_name,sam harris,Sam Harris,22885,22895,1
exp,exp_name,dana,Dana,22986,22990,0
exp,exp_name,sam,Sam,23030,23033,1
booknlp,COREF,37,his,23041,23044,1
exp,exp_name,sam,Sam,23124,23127,1
exp,exp_name,dana,Dana,23144,23148,0
booknlp,COREF,37,He,23159,23161,1
exp,exp_name,dana,Dana,23181,23185,0
booknlp,COREF,33,she,23217,23220,0
booknlp,COREF,33,she,23251,23254,0
booknlp,COREF,33,she,23287,23290,0
exp,exp_name,dana,Dana,23414,23418,0
booknlp,COREF,33,her,23449,23452,0
booknlp,COREF,37,you,23474,23477,1
exp,exp_name,sam,Sam,23479,23482,1
exp,exp_name,emily haven,Emily Haven,23505,23516,2
exp,exp_name,sam,Sam,23519,23522,1
booknlp,COREF,37,him,23583,23586,1
booknlp,COREF,31,She,23627,23630,2
booknlp,COREF,31,she,23671,23674,2
booknlp,COREF,31,Her,23742,23745,2
exp,exp_name,ben spears,Ben Spears,23754,23764,20
booknlp,COREF,31,her,23780,23783,2
booknlp,COREF,31,her,23796,23799,2
booknlp,COREF,39,he,23830,23832,20
exp,exp_name,dana,Dana,23875,23879,0
booknlp,COREF,33,her,23887,23890,0
exp,exp_name,sam,Sam,23958,23961,1
booknlp,COREF,31,Her,23972,23975,2
exp,exp_name,sam,Sam,24067,24070,1
exp,exp_name,dana,Dana,24089,24093,0
booknlp,COREF,33,herself,24101,24108,0
exp,exp_name,emily,Emily,24131,24136,2
booknlp,COREF,31,her,24174,24177,2
booknlp,COREF,31,Her,24221,24224,2
booknlp,COREF,31,her,24252,24255,2
booknlp,COREF,31,her,24282,24285,2
exp,exp_name,dana,Dana,24321,24325,0
booknlp,COREF,33,her,24336,24339,0
exp,exp_name,sam,Sam,24418,24421,1
exp,exp_name,dana,Dana,24464,24468,0
booknlp,COREF,33,her,24488,24491,0
exp,exp_name,sam,Sam,24738,24741,1
booknlp,COREF,33,she,24758,24761,0
booknlp,COREF,33,She,24791,24794,0
exp,exp_name,emily,Emily,24881,24886,2
exp,exp_name,sam,Sam,24906,24909,1
booknlp,COREF,31,she,24957,24960,2
booknlp,COREF,31,she,25006,25009,2
exp,exp_name,dana,Dana,25018,25022,0
exp,exp_name,dana,Dana,25138,25142,0
booknlp,COREF,33,She,25185,25188,0
exp,exp_name,ben,Ben,25292,25295,20
exp,exp_name,agent dana blaze,Agent Dana Blaze,25305,25321,0
exp,exp_name,sam,Sam,25324,25327,1
exp,exp_name,ben,Ben,25381,25384,20
booknlp,COREF,39,his,25391,25394,20
booknlp,COREF,39,his,25411,25414,20
exp,exp_name,emily,Emily,25449,25454,2
booknlp,COREF,39,I,25481,25482,20
booknlp,COREF,39,I,25524,25525,20
booknlp,COREF,39,I,25544,25545,20
booknlp,COREF,39,you,25565,25568,20
booknlp,COREF,39,you,25603,25606,20
exp,exp_name,dana,Dana,25665,25669,0
exp,exp_name,emily,Emily,25711,25716,2
exp,exp_name,ben,Ben,25764,25767,20
exp,exp_name,emily,Emily,25801,25806,2
booknlp,COREF,31,her,25822,25825,2
booknlp,COREF,31,she,25838,25841,2
booknlp,COREF,31,She,25862,25865,2
booknlp,COREF,39,me,25871,25873,20
booknlp,COREF,31,she,25874,25877,2
booknlp,COREF,39,I,25934,25935,20
booknlp,COREF,39,He,25940,25942,20
booknlp,COREF,39,I,25974,25975,20
booknlp,COREF,39,I,25989,25990,20
booknlp,COREF,31,her,26007,26010,2
booknlp,COREF,39,His,26072,26075,20
exp,exp_name,dana,Dana,26148,26152,0
exp,exp_name,ben,Ben,26168,26171,20
booknlp,COREF,31,She,26210,26213,2
booknlp,COREF,39,I,26248,26249,20
booknlp,COREF,31,her,26264,26267,2
booknlp,COREF,39,I,26369,26370,20
booknlp,COREF,39,I,26390,26391,20
booknlp,COREF,31,her,26419,26422,2
booknlp,COREF,31,her,26435,26438,2
booknlp,COREF,37,you,26457,26460,1
exp,exp_name,sam,Sam,26504,26507,1
booknlp,COREF,37,his,26515,26518,1
exp,exp_name,ben,Ben,26610,26613,20
booknlp,COREF,39,his,26632,26635,20
exp,exp_name,emily,Emily,26673,26678,2
booknlp,COREF,31,she,26711,26714,2
booknlp,COREF,31,she,26763,26766,2
exp,exp_name,dana,Dana,26794,26798,0
booknlp,COREF,39,I,26845,26846,20
booknlp,COREF,31,She,26863,26866,2
booknlp,COREF,31,she,26896,26899,2
booknlp,COREF,31,She,26914,26917,2
booknlp,COREF,31,her,26922,26925,2
booknlp,COREF,39,He,26954,26956,20
booknlp,COREF,39,his,26965,26968,20
booknlp,COREF,33,you,27005,27008,0
exp,exp_name,sam,Sam,27058,27061,1
booknlp,COREF,33,you,27077,27080,0
booknlp,COREF,33,you,27089,27092,0
exp,exp_name,ben,Ben,27121,27124,20
booknlp,COREF,33,you,27151,27154,0
booknlp,COREF,33,you,27167,27170,0
booknlp,COREF,39,He,27192,27194,20
booknlp,COREF,39,he,27209,27211,20
booknlp,COREF,39,he,27256,27258,20
exp,exp_name,dana,Dana,27291,27295,0
booknlp,COREF,33,her,27420,27423,0
exp,exp_name,dana,Dana,27427,27431,0
booknlp,COREF,33,She,27461,27464,0
exp,exp_name,ben,Ben,27476,27479,20
booknlp,COREF,39,I,27572,27573,20
booknlp,COREF,39,he,27610,27612,20
booknlp,COREF,33,she,27701,27704,0
booknlp,COREF,33,her,27765,27768,0
booknlp,COREF,33,her,27822,27825,0
booknlp,COREF,33,her,27891,27894,0
exp,exp_name,ben,Ben,27899,27902,20
booknlp,COREF,39,his,27924,27927,20
booknlp,COREF,39,I,27941,27942,20
booknlp,COREF,39,you,27970,27973,20
exp,exp_name,ben,Ben,27975,27978,20
exp,exp_name,dana,Dana,27981,27985,0
booknlp,COREF,39,him,28014,28017,20
exp,exp_name,ben,Ben,28136,28139,20
booknlp,COREF,39,his,28149,28152,20
booknlp,COREF,39,He,28174,28176,20
exp,exp_name,ben,Ben,28235,28238,20
exp,exp_name,sam,Sam,28245,28248,1
exp,exp_name,dana,Dana,28259,28263,0
booknlp,COREF,37,I,28266,28267,1
exp,exp_name,dana,Dana,28383,28387,0
booknlp,COREF,37,him,28406,28409,1
booknlp,COREF,33,She,28438,28441,0
booknlp,COREF,33,her,28449,28452,0
exp,exp_name,emily,Emily,28471,28476,2
exp,exp_name,dana,Dana,28562,28566,0
booknlp,COREF,33,her,28598,28601,0
booknlp,COREF,33,she,28661,28664,0
exp,exp_name,emily,Emily,28684,28689,2
booknlp,COREF,33,she,28697,28700,0
exp,exp_name,dana,Dana,28776,28780,0
exp,exp_name,sam,Sam,28859,28862,1
booknlp,COREF,33,she,28865,28868,0
booknlp,COREF,37,his,28912,28915,1
booknlp,COREF,37,He,28936,28938,1
booknlp,COREF,33,her,28954,28957,0
booknlp,COREF,33,her,28983,28986,0
booknlp,COREF,37,he,29014,29016,1
booknlp,COREF,37,he,29043,29045,1
booknlp,COREF,37,his,29072,29075,1
booknlp,COREF,37,his,29096,29099,1
exp,exp_name,dana,Dana,29124,29128,0
booknlp,COREF,33,she,29147,29150,0
booknlp,COREF,37,you,29198,29201,1
exp,exp_name,sam,Sam,29216,29219,1
exp,exp_name,mark,mark,29237,29241,26
booknlp,COREF,37,his,29243,29246,1
booknlp,COREF,33,I,29323,29324,0
exp,exp_name,dana,Dana,29355,29359,0
exp,exp_name,emily,Emily,29432,29437,2
booknlp,COREF,31,her,29474,29477,2
exp,exp_name,sam,Sam,29626,29629,1
exp,exp_name,dana,Dana,29685,29689,0
booknlp,COREF,33,she,29720,29723,0
exp,exp_name,emily,Emily,29785,29790,2
booknlp,COREF,31,her,29856,29859,2
booknlp,COREF,37,me,29881,29883,1
exp,exp_name,sam,Sam,29952,29955,1
booknlp,COREF,37,his,29970,29973,1
booknlp,COREF,37,his,29983,29986,1
exp,exp_name,sam,Sam,30006,30009,1
exp,exp_name,dana,Dana,30042,30046,0
booknlp,COREF,33,she,30097,30100,0
booknlp,COREF,33,her,30128,30131,0
booknlp,COREF,33,she,30220,30223,0
exp,exp_name,dana,Dana,30330,30334,0
booknlp,COREF,33,her,30389,30392,0
exp,exp_name,dana,Dana,30540,30544,0
booknlp,COREF,33,She,30649,30652,0
booknlp,COREF,33,her,30664,30667,0
booknlp,COREF,33,her,30705,30708,0
booknlp,COREF,33,her,30764,30767,0
booknlp,COREF,33,her,30841,30844,0
booknlp,COREF,33,her,30867,30870,0
booknlp,COREF,33,she,30926,30929,0
booknlp,COREF,33,her,30961,30964,0
booknlp,COREF,33,she,31011,31014,0
booknlp,COREF,33,She,31034,31037,0
booknlp,COREF,33,she,31166,31169,0
booknlp,COREF,33,she,31237,31240,0
booknlp,COREF,33,her,31258,31261,0
booknlp,COREF,33,she,31263,31266,0
exp,exp_name,sam,Sam,31273,31276,1
booknlp,COREF,37,he,31302,31304,1
booknlp,COREF,33,She,31350,31353,0
booknlp,COREF,37,he,31401,31403,1
booknlp,COREF,33,her,31411,31414,0
booknlp,COREF,33,her,31425,31428,0
booknlp,COREF,33,she,31477,31480,0
booknlp,COREF,33,she,31513,31516,0
booknlp,COREF,33,her,31570,31573,0
booknlp,COREF,33,her,31638,31641,0
booknlp,COREF,33,she,31749,31752,0
booknlp,COREF,33,you,31776,31779,0
exp,exp_name,sam,Sam,31796,31799,1
booknlp,COREF,37,he,31809,31811,1
booknlp,COREF,33,her,31819,31822,0
exp,exp_name,dana,Dana,31848,31852,0
booknlp,COREF,37,him,31889,31892,1
exp,exp_name,sam,Sam,31979,31982,1
